USERNAME,PASSWORD
terminal_user_1_1,password_1_1
terminal_user_1_2,password_1_2
terminal_user_1_3,password_1_3
terminal_user_1_4,password_1_4
terminal_user_1_5,password_1_5
terminal_user_1_6,password_1_6
terminal_user_1_7,password_1_7
terminal_user_1_8,password_1_8
terminal_user_1_9,password_1_9
terminal_user_1_10,password_1_10
terminal_user_2_1,password_2_1
terminal_user_2_2,password_2_2
terminal_user_2_3,password_2_3
terminal_user_2_4,password_2_4
terminal_user_2_5,password_2_5
terminal_user_2_6,password_2_6
terminal_user_2_7,password_2_7
terminal_user_2_8,password_2_8
terminal_user_2_9,password_2_9
terminal_user_2_10,password_2_10
terminal_user_3_1,password_3_1
terminal_user_3_2,password_3_2
terminal_user_3_3,password_3_3
terminal_user_3_4,password_3_4
terminal_user_3_5,password_3_5
terminal_user_3_6,password_3_6
terminal_user_3_7,password_3_7
terminal_user_3_8,password_3_8
terminal_user_3_9,password_3_9
terminal_user_3_10,password_3_10
terminal_user_4_1,password_4_1
terminal_user_4_2,password_4_2
terminal_user_4_3,password_4_3
terminal_user_4_4,password_4_4
terminal_user_4_5,password_4_5
terminal_user_4_6,password_4_6
terminal_user_4_7,password_4_7
terminal_user_4_8,password_4_8
terminal_user_4_9,password_4_9
terminal_user_4_10,password_4_10
terminal_user_5_1,password_5_1
terminal_user_5_2,password_5_2
terminal_user_5_3,password_5_3
terminal_user_5_4,password_5_4
terminal_user_5_5,password_5_5
terminal_user_5_6,password_5_6
terminal_user_5_7,password_5_7
terminal_user_5_8,password_5_8
terminal_user_5_9,password_5_9
terminal_user_5_10,password_5_10
terminal_user_6_1,password_6_1
terminal_user_6_2,password_6_2
terminal_user_6_3,password_6_3
terminal_user_6_4,password_6_4
terminal_user_6_5,password_6_5
terminal_user_6_6,password_6_6
terminal_user_6_7,password_6_7
terminal_user_6_8,password_6_8
terminal_user_6_9,password_6_9
terminal_user_6_10,password_6_10
terminal_user_7_1,password_7_1
terminal_user_7_2,password_7_2
terminal_user_7_3,password_7_3
terminal_user_7_4,password_7_4
terminal_user_7_5,password_7_5
terminal_user_7_6,password_7_6
terminal_user_7_7,password_7_7
terminal_user_7_8,password_7_8
terminal_user_7_9,password_7_9
terminal_user_7_10,password_7_10
terminal_user_8_1,password_8_1
terminal_user_8_2,password_8_2
terminal_user_8_3,password_8_3
terminal_user_8_4,password_8_4
terminal_user_8_5,password_8_5
terminal_user_8_6,password_8_6
terminal_user_8_7,password_8_7
terminal_user_8_8,password_8_8
terminal_user_8_9,password_8_9
terminal_user_8_10,password_8_10
terminal_user_9_1,password_9_1
terminal_user_9_2,password_9_2
terminal_user_9_3,password_9_3
terminal_user_9_4,password_9_4
terminal_user_9_5,password_9_5
terminal_user_9_6,password_9_6
terminal_user_9_7,password_9_7
terminal_user_9_8,password_9_8
terminal_user_9_9,password_9_9
terminal_user_9_10,password_9_10
terminal_user_10_1,password_10_1
terminal_user_10_2,password_10_2
terminal_user_10_3,password_10_3
terminal_user_10_4,password_10_4
terminal_user_10_5,password_10_5
terminal_user_10_6,password_10_6
terminal_user_10_7,password_10_7
terminal_user_10_8,password_10_8
terminal_user_10_9,password_10_9
terminal_user_10_10,password_10_10
